location,mintemp,maxtemp,rainfall,evaporation,sunshine,winddir,windspeed,humidity,pressure,cloud,temp,raintoday,raintom
Albury,16.4,27,3,NA,NA,N,22,74,1008,4,19.7,Yes,Yes
Albury,10,19.7,11.6,NA,NA,NW,17,41,1012,8,18.3,Yes,No
Albury,8.8,21.9,0,NA,NA,WNW,20,34,1011.6,6,20.5,No,No
Albury,8.4,25.3,0,NA,NA,WSW,17,34,1013.2,NA,23.9,No,No
Albury,9.3,28,0,NA,NA,NW,11,19,1013.9,NA,27.2,No,No
Albury,11.3,30.1,0,NA,NA,SW,7,15,1013.6,NA,29.3,No,No
Albury,15.4,22.3,0.4,NA,NA,SSE,9,78,1019.2,8,19.6,No,Yes
Albury,13.3,29.8,1.8,NA,NA,WNW,20,26,1017.2,6,29.2,Yes,No
Albury,10.1,27.6,0,NA,NA,W,11,30,1020.7,NA,26.8,No,No
Albury,9.1,28.9,0,NA,NA,N,17,26,1020.6,NA,27.7,No,No
Albury,10.4,31.2,0,NA,NA,SE,6,18,1019.1,NA,29.9,No,No
Albury,13.4,30.4,0,NA,NA,SE,9,16,1019.5,NA,29.2,No,No
Albury,12.3,29.9,0,NA,NA,SSW,13,25,1019.5,NA,28.6,No,No
Albury,12.2,30.6,0,NA,NA,ENE,6,22,1019.4,NA,29.5,No,No
Albury,14.3,32.1,0,NA,NA,ENE,11,30,1018.4,NA,30.9,No,Yes
Albury,18.4,28.1,8.6,NA,NA,NNE,17,49,1012.9,6,27.4,Yes,Yes
Albury,10.7,21.4,12.6,NA,NA,WSW,13,33,1019.3,NA,20.3,Yes,No
Albury,7.8,21.7,0,NA,NA,NW,19,37,1016.5,NA,21.2,No,No
Albury,8.1,21.4,0,NA,NA,WSW,19,20,1019.6,NA,20.9,No,No
Albury,7.5,22.5,0,NA,NA,S,7,27,1023.5,NA,21.6,No,No
Albury,8.2,24,0,NA,NA,SSE,13,30,1023.4,NA,23.5,No,No
Albury,8.1,25.7,0,NA,NA,S,13,27,1019.6,NA,25,No,No
Albury,11.6,26.7,0,NA,NA,NE,11,42,1017.7,7,24.3,No,Yes
Albury,13,24.9,8.4,NA,NA,E,11,47,1020.3,6,24.4,Yes,Yes
Albury,7,23.4,0,NA,NA,W,17,37,1019.3,NA,22.9,No,No
Albury,11.2,23.9,0,NA,NA,SE,15,33,1019.6,NA,23.6,No,No
Albury,7.4,22,0,NA,NA,SE,7,29,1020,NA,21.3,No,No
Albury,5.7,21.4,0,NA,NA,SSE,7,39,1020.9,NA,20.9,No,No
Albury,6.2,22.7,0,NA,NA,SW,7,33,1021.6,NA,22.3,No,No
Albury,6,22.9,0,NA,NA,NE,20,34,1015.7,NA,22.6,No,No
Albury,10.6,16.2,0,NA,NA,NNE,4,86,1002.4,8,15.1,No,Yes
Albury,12.9,15.8,20,NA,NA,NNW,15,89,1000.9,8,14.5,Yes,Yes
Albury,8.6,12.9,21,NA,NA,WNW,31,62,1003.3,8,11.6,Yes,Yes
Albury,4.5,11.5,3.2,NA,NA,NNW,13,79,1013.5,8,9.4,Yes,Yes
Albury,7.6,14.5,4.8,NA,NA,W,20,48,1018.3,1,14,Yes,No
Albury,3.2,18.4,0,NA,NA,WNW,11,49,1023.6,NA,18.2,No,No
Albury,4.3,19,0,NA,NA,W,9,36,1025.8,NA,18.5,No,No
Albury,3.7,20.5,0,NA,NA,WSW,7,45,1021.8,NA,20.2,No,No
Albury,5.4,19.5,0,NA,NA,SE,7,40,1022.3,NA,19.1,No,No
Albury,4.3,17.7,0,NA,NA,S,7,53,1022.2,NA,17.7,No,No
Albury,3.6,18.5,0,NA,NA,WNW,17,49,1018.5,NA,18,No,No
Albury,3.6,15.1,0,NA,NA,W,17,61,1015.7,8,14.6,No,No
Albury,6.9,16.3,0,NA,NA,WNW,19,59,1013.1,8,15.3,No,No
Albury,10.3,16.6,0,NA,NA,NW,19,63,1011,7,15.9,No,Yes
Albury,12.4,16.4,1.8,NA,NA,WSW,24,54,1013.4,8,14.5,Yes,No
Albury,3,15.6,0,NA,NA,E,9,61,1019.3,NA,14.7,No,No
Albury,2.6,19.7,0,NA,NA,ENE,4,34,1021.2,NA,18.7,No,No
Albury,3.7,19.1,0,NA,NA,SSE,11,51,1019.9,NA,18.9,No,No
Albury,5.1,18.6,0,NA,NA,ENE,9,57,1020.5,7,18,No,No
Albury,4.4,19.8,0,NA,NA,SE,7,48,1022.3,NA,19.1,No,No
Albury,4.7,19.8,0,NA,NA,SE,19,43,1021.4,NA,19.6,No,No
Albury,6.2,22.9,0,NA,NA,SE,9,37,1019.4,NA,21.7,No,No
Albury,6.7,21.1,0,NA,NA,SE,11,43,1022.1,NA,20.8,No,No
Albury,9.3,20.3,0,NA,NA,NE,22,50,1019.7,8,19.5,No,Yes
Albury,2.2,16.8,0,NA,NA,SE,15,44,1028.5,NA,16.7,No,No
Albury,1.7,17.1,0,NA,NA,SE,9,46,1029.9,NA,16.8,No,Yes
Albury,8,14.3,1.2,NA,NA,NA,0,75,1029.2,8,14,Yes,Yes
Albury,8.4,13.4,1.4,NA,NA,ESE,7,75,1026.2,8,13.4,Yes,Yes
Albury,10.6,14.3,4.8,NA,NA,SE,9,97,1020.4,8,13,Yes,Yes
Albury,8.9,17.4,8,NA,NA,E,4,58,1017.5,7,16.5,Yes,No
Albury,2.8,16.1,0,NA,NA,W,11,57,1015.1,NA,15.6,No,No
Albury,1.7,10.5,0.2,NA,NA,NA,0,91,1011.1,8,10.2,No,Yes
Albury,4.7,11.6,14.4,NA,NA,NNW,17,80,1006.3,8,11.5,Yes,Yes
Albury,9,12,4.6,NA,NA,WNW,26,79,1008.7,8,11.4,Yes,Yes
Albury,6.3,8.8,2,NA,NA,WNW,13,95,1008.3,8,7.9,Yes,Yes
Albury,3,10.5,5.6,NA,NA,WSW,22,56,1018.4,4,9.7,Yes,No
Albury,-2,9.6,0,NA,NA,ESE,6,72,1023,1,8.8,No,No
Albury,-1.3,8.2,0,NA,NA,SSE,6,72,1022.2,7,7.9,No,No
Albury,1.8,12.4,0,NA,NA,NE,15,60,1013,4,12.1,No,No
Albury,2,15.8,0,NA,NA,NE,11,49,1009.3,NA,15.5,No,No
Albury,0.5,14.9,0.4,NA,NA,NA,0,63,1012.8,NA,13.9,No,No
Albury,1.2,17.7,0,NA,NA,ESE,6,49,1022.2,NA,15.4,No,No
Albury,0.6,15.9,0,NA,NA,W,2,52,1027.7,NA,14.9,No,No
Albury,0.5,14.7,0,NA,NA,NA,0,63,1028.6,NA,14.5,No,No
Albury,0.5,15.3,0,NA,NA,SE,6,56,1027.1,NA,15.1,No,No
Albury,0.9,17.3,0,NA,NA,NE,17,56,1020.6,8,16.7,No,Yes
Albury,7,17,1.6,NA,NA,ENE,20,71,1018.6,1,16.4,Yes,Yes
Albury,5,14.9,5.6,NA,NA,ENE,6,78,1018.6,8,13.6,Yes,No
Albury,3.9,15.5,0,NA,NA,SSE,7,70,1016.4,6,15.2,No,Yes
Albury,7.7,14.1,6,NA,NA,SE,9,65,1012.7,5,13.7,Yes,No
Albury,4.7,12.2,0,NA,NA,N,13,75,1012.7,8,11.6,No,Yes
Albury,6.9,13.7,4.4,NA,NA,ESE,9,73,1008.1,NA,13,Yes,No
Albury,8.4,11.9,0,NA,NA,SE,6,81,1005.5,8,11.3,No,Yes
Albury,9.3,12.3,5.4,NA,NA,NNW,11,76,1006.6,8,12.3,Yes,Yes
Albury,8.2,15.7,3.6,NA,NA,NNE,15,69,1009.4,8,15.6,Yes,Yes
Albury,9.1,16.1,2,NA,NA,NE,19,73,1001,8,15.3,Yes,Yes
Albury,8.3,13.3,8.4,NA,NA,NW,22,68,1005.2,5,13.1,Yes,Yes
Albury,8.8,11.6,5,NA,NA,WNW,19,74,1006.8,4,11.4,Yes,Yes
Albury,7.6,12,7.8,NA,NA,WSW,22,62,1009.6,1,11.7,Yes,No
Albury,0.1,13.5,0,NA,NA,SSE,9,62,1023.8,NA,13.4,No,No
Albury,4.8,13.3,0.6,NA,NA,NE,13,63,1015.6,1,13.2,No,No
Albury,8.1,16.5,0.6,NA,NA,NNW,19,53,1007.7,6,15.4,No,No
Albury,5.9,13.1,1,NA,NA,NNW,11,73,1005.5,8,12.3,No,Yes
Albury,6.9,11,6.8,NA,NA,SSW,9,75,1005.8,8,10.1,Yes,Yes
Albury,2.9,12.6,1.8,NA,NA,NA,0,57,1009.9,NA,12.5,Yes,No
Albury,-0.6,13.4,0,NA,NA,WSW,9,57,1014.5,NA,12.8,No,No
Albury,-0.3,14.4,0.2,NA,NA,SW,6,52,1020.6,NA,14.2,No,No
Albury,-1,12,0,NA,NA,N,11,64,1019.5,5,11.2,No,No
Albury,3.2,14.1,0.6,NA,NA,NE,11,65,1019.8,8,13.5,No,No
Albury,3.6,16.5,0.2,NA,NA,N,19,53,1018.4,NA,16.3,No,No
Albury,0.8,17.7,0,NA,NA,ENE,17,46,1013.4,NA,17.6,No,No
Albury,6.6,12.3,0,NA,NA,NNW,20,81,1006.2,8,10.2,No,Yes
Albury,6,13.5,9.8,NA,NA,W,17,58,1018.4,7,12.9,Yes,No
Albury,-0.1,12.9,0,NA,NA,NNW,15,58,1025.4,2,11.6,No,No
Albury,-0.3,12.2,0,NA,NA,NE,9,61,1022.7,NA,10.8,No,No
Albury,2.1,9.8,0,NA,NA,E,2,74,1013.7,NA,9.6,No,No
Albury,1.3,8.8,0,NA,NA,NNW,9,91,1019.9,8,7.3,No,Yes
Albury,4.2,12.7,3.8,NA,NA,WNW,11,71,1023.1,8,12,Yes,Yes
Albury,8.3,13.2,2.4,NA,NA,WSW,9,81,1025.4,8,12.1,Yes,No
Albury,3.3,12.1,0.2,NA,NA,WNW,9,76,1022.7,7,12,No,Yes
Albury,6.5,14.5,5.2,NA,NA,WSW,22,61,1021.5,8,12.7,Yes,No
Albury,7.4,13.9,0.2,NA,NA,WNW,15,70,1025.3,3,13.3,No,No
Albury,7.5,14.1,0.8,NA,NA,NNW,17,65,1024.8,6,13.3,No,No
Albury,8.3,13.8,0.8,NA,NA,WNW,15,49,1022.9,NA,13.6,No,No
Albury,3.2,14.7,0,NA,NA,ENE,4,53,1018.9,NA,14,No,Yes
Albury,5.7,13.8,5.4,NA,NA,S,7,76,1020.2,8,13.6,Yes,No
Albury,5.1,17.1,0.4,NA,NA,NE,19,58,1016.7,NA,16.6,No,No
Albury,8,13.9,0.8,NA,NA,WSW,33,47,1015.6,8,13.7,No,Yes
Albury,-0.8,12.9,4.2,NA,NA,WSW,6,50,1023,NA,12.3,Yes,No
Albury,-1,12.2,0,NA,NA,E,7,48,1018.5,NA,12.1,No,No
Albury,1.9,14.8,0.2,NA,NA,SE,11,60,1014.7,NA,12.6,No,No
Albury,5.9,17.7,0.4,NA,NA,NNW,22,59,1008.6,1,15.6,No,Yes
Albury,6.9,14.3,4.8,NA,NA,NW,13,74,1010,8,13,Yes,No
Albury,7.7,11.6,0.2,NA,NA,N,13,87,1015.3,7,11.1,No,Yes
Albury,6.8,15.2,1.2,NA,NA,WNW,13,61,1019.1,NA,14.7,Yes,No
Albury,2.7,17.5,0.2,NA,NA,NE,13,57,1016.8,NA,17,No,Yes
Albury,5.1,15.5,1.6,NA,NA,ENE,11,70,1006.4,8,14.3,Yes,Yes
Albury,1.6,16.4,0,NA,NA,S,7,61,1022.5,1,15.2,No,No
Albury,5.5,18.4,0,NA,NA,N,13,51,1014.3,NA,17.3,No,No
Albury,7.3,14.8,1,NA,NA,WSW,30,85,1001.7,8,10.1,No,Yes
Albury,0.2,14.1,6.6,NA,NA,NNE,13,57,1009.6,NA,12.9,Yes,Yes
Albury,5.8,18.9,3.8,NA,NA,NNE,11,67,1007.1,3,18.2,Yes,Yes
Albury,8.9,17.1,1.2,NA,NA,NW,22,52,1001,NA,16.4,Yes,Yes
Albury,7.1,12.8,2,NA,NA,NW,20,53,1008.2,NA,11.7,Yes,Yes
Albury,4.2,14.4,3.6,NA,NA,NW,30,56,1014.4,8,13.6,Yes,No
Albury,1.1,16.7,0.4,NA,NA,N,19,49,1014.6,NA,16.2,No,No
Albury,1.1,18.6,0,NA,NA,E,11,51,1013.3,NA,17.6,No,Yes
Albury,7.2,17.9,4.2,NA,NA,W,19,80,996.9,8,17.5,Yes,Yes
Albury,6.3,11.1,13.4,NA,NA,W,20,57,1015.2,8,10.7,Yes,Yes
Albury,6.7,14.2,1.4,NA,NA,NW,22,72,1016.8,5,13.9,Yes,Yes
Albury,5.1,14.2,3,NA,NA,W,15,58,1021.7,1,12.5,Yes,No
Albury,1,16.8,0,NA,NA,E,9,45,1020.2,NA,16,No,No
Albury,6.1,20.7,0,NA,NA,NE,24,54,1010.8,NA,20.3,No,Yes
Albury,13.2,25.1,0,NA,NA,WNW,11,25,1012.2,NA,23.1,No,No
Albury,4.3,17.8,0,NA,NA,NNW,6,29,1019.9,NA,17.1,No,No
Albury,1.6,17.2,0,NA,NA,S,7,44,1019.1,NA,16.7,No,No
Albury,2.8,21.1,0,NA,NA,ESE,9,39,1016.8,NA,20.7,No,No
Albury,6.3,19,0,NA,NA,NW,2,73,1011.9,7,14,No,Yes
Albury,7.4,20.4,10.2,NA,NA,NA,0,54,1018.6,NA,20.3,Yes,No
Albury,5.4,20.6,0,NA,NA,WNW,11,46,1015,8,19.2,No,No
Albury,8,18.9,0.4,NA,NA,W,20,50,1013.7,NA,16.8,No,No
Albury,3.7,19,0.2,NA,NA,ENE,15,50,1008.2,NA,18.3,No,Yes
Albury,11.5,20.2,8.4,NA,NA,N,13,55,999.2,1,19.2,Yes,Yes
Albury,9.3,16.8,28.8,NA,NA,WSW,30,54,1003.8,8,15.9,Yes,Yes
Albury,5.3,20.6,0,NA,NA,N,13,57,1002.9,7,17.3,No,Yes
Albury,6.8,12.2,6,NA,NA,W,24,72,1003.9,6,11.1,Yes,Yes
Albury,4.5,12.9,1.6,NA,NA,W,37,72,1008.4,8,10.7,Yes,No
Albury,8.9,21.1,0,NA,NA,S,9,61,1008.8,NA,19.4,No,No
Albury,11.7,22,0,NA,NA,SSW,11,55,1004.9,NA,20.6,No,Yes
Albury,8.5,13.5,3.2,NA,NA,ESE,11,75,1015.1,7,13,Yes,Yes
Albury,9.6,16.2,1.8,NA,NA,SE,9,75,1019.4,1,14.8,Yes,No
Albury,8.3,19.7,0.2,NA,NA,SW,20,47,1018.6,NA,19.2,No,No
Albury,5.2,16.2,0,NA,NA,SSE,15,77,1018.3,2,10,No,Yes
Albury,3.8,15.9,3.6,NA,NA,SSW,15,42,1018.5,NA,15.2,Yes,No
Albury,6.4,18.7,0,NA,NA,NNE,17,50,1016.9,NA,18.2,No,No
Albury,5.8,23.3,0,NA,NA,NE,20,64,999.4,1,19,No,Yes
Albury,6.6,17.7,2,NA,NA,NW,30,71,997.6,6,14.8,Yes,Yes
Albury,9.5,15.1,7,NA,NA,W,30,60,1002.7,1,14.1,Yes,Yes
Albury,15.6,30.8,0,NA,NA,SE,11,38,1019,NA,30.3,No,No
Albury,17.8,34,0,NA,NA,SE,17,35,1017.3,NA,32.7,No,No
Albury,18.7,32.4,0,NA,NA,SE,9,47,1014.6,NA,31.1,No,No
Albury,18.7,24.3,0,NA,NA,W,20,39,1011.9,NA,21.9,No,No
Albury,10,23.2,0,NA,NA,WNW,19,27,1015.8,NA,22.6,No,No
Albury,6.6,25.3,0,NA,NA,SE,26,28,1017.3,NA,25.3,No,No
Albury,10.8,27.9,0,NA,NA,S,15,32,1021.8,NA,27,No,No
Albury,11.3,29.8,0,NA,NA,S,15,27,1025.3,NA,28.9,No,No
Albury,13.5,31.8,0,NA,NA,E,9,29,1024.8,NA,30.3,No,No
Albury,15.4,33.4,0,NA,NA,SSE,13,29,1020.6,NA,32.8,No,No
Albury,15.9,35.2,0,NA,NA,SW,11,23,1017.2,NA,33.8,No,No
Albury,17.1,36,0,NA,NA,SE,13,18,1017.8,NA,34.9,No,No
Albury,16.7,35.1,0,NA,NA,SW,28,18,1014.8,NA,34.6,No,No
Albury,18.1,32.8,0,NA,NA,SSE,17,22,1013.9,NA,31.7,No,No
Albury,13.4,35.4,0,NA,NA,SSW,11,25,1011.2,NA,32.6,No,No
Albury,17.2,36.3,0,NA,NA,W,22,16,1006.5,NA,35.4,No,No
Albury,15.3,35.1,0,NA,NA,S,13,20,1002.6,NA,33.4,No,No
Albury,12.1,30.5,0,NA,NA,SSE,9,18,1005.9,NA,28.6,No,No
Albury,11.4,33.5,0,NA,NA,W,9,18,1007.1,NA,32.7,No,No
Albury,18.6,39.7,0,NA,NA,WNW,22,11,1004.6,NA,39,No,No
Albury,15.3,38.2,0,NA,NA,WNW,13,21,1002.3,1,36.4,No,Yes
Albury,19.3,21,10.6,NA,NA,SSE,9,91,1009,8,20.8,Yes,Yes
Albury,18.3,28.3,25.8,NA,NA,W,46,67,1003.5,8,25.6,Yes,No
Albury,11.9,23.6,0.4,NA,NA,S,9,37,1020.6,NA,22.7,No,No
Albury,12.8,25.8,0,NA,NA,S,7,40,1021.6,1,24.9,No,No
Albury,17.2,32.9,0,NA,NA,S,7,36,1016,NA,32,No,No
Albury,21,34.5,0,NA,NA,WNW,39,70,1008.4,4,25.2,No,Yes
Albury,15.9,26.2,10.2,NA,NA,NA,0,56,1008.6,5,24.7,Yes,No
Albury,17.1,26.4,0,NA,NA,NW,24,27,1002.7,1,25.7,No,Yes
Albury,12.8,22.3,9.4,NA,NA,WNW,19,54,1000.9,4,20.7,Yes,Yes
Albury,13.2,23.9,2.4,NA,NA,SE,24,35,1009.3,1,23.6,Yes,No
Albury,12.3,23.6,0,NA,NA,SE,22,31,1016.9,NA,22.6,No,No
Albury,10.6,27,0,NA,NA,WSW,9,29,1018.9,NA,25.5,No,No
Albury,11.4,31.5,0,NA,NA,NNW,17,16,1014.3,NA,29.8,No,No
Albury,12.3,27.5,0,NA,NA,SW,20,7,1014.4,NA,26.8,No,No
Albury,10.7,26.7,0,NA,NA,WSW,24,22,1012.9,NA,25.7,No,No
Albury,11.1,30.7,0,NA,NA,W,13,23,1012.4,NA,28.7,No,No
Albury,13.4,31.9,0,NA,NA,NW,28,19,1009,NA,30.6,No,No
Albury,18.2,24.9,0,NA,NA,SW,28,45,1006,5,21.8,No,Yes
Albury,9.2,25.4,1.2,NA,NA,NW,15,24,1009.2,NA,23.4,Yes,No
Albury,14.2,27.4,0,NA,NA,W,19,26,1004.7,7,25.6,No,No
Albury,9.2,22.6,1,NA,NA,SW,20,30,1016.3,3,21,No,No
Albury,9,26.5,0,NA,NA,SW,15,31,1016.1,4,26,No,No
Albury,11.8,29.6,0,NA,NA,WSW,24,27,1015,NA,28.9,No,No
Albury,13.6,32,0,NA,NA,SSE,15,25,1015.8,NA,30.6,No,No
Albury,13.1,34.7,0,NA,NA,S,19,22,1015.4,NA,32.5,No,No
Albury,14.6,38.6,0,NA,NA,NNE,20,8,1012.3,NA,36.9,No,No
Albury,14.5,40.3,0,NA,NA,WNW,50,28,1005.7,2,31.4,No,Yes
Albury,12.2,26.4,3,NA,NA,W,17,19,1014.1,NA,24.9,Yes,No
Albury,11.1,29.2,0,NA,NA,WSW,20,23,1014.2,NA,27.7,No,No
Albury,12,31.3,0,NA,NA,ESE,7,21,1013.7,NA,30.4,No,No
Albury,12.7,33.7,0,NA,NA,NW,22,10,1009.6,NA,32.7,No,No
Albury,15.1,36.6,0,NA,NA,SW,19,10,1007.3,NA,35.9,No,No
Albury,18.1,38.2,0,NA,NA,N,11,12,1008.8,NA,37.5,No,No
Albury,22.9,34.6,0,NA,NA,NNW,20,29,1006.3,NA,30.4,No,Yes
Albury,18.8,28.3,9.8,NA,NA,NNE,6,49,1008,1,27.5,Yes,No
Albury,17.1,31.3,0,NA,NA,NW,7,34,1011.9,NA,29.4,No,No
